num_patterns,average_pattern_depth,variance_pattern_depth,max_pattern_depth,min_pattern_depth,enumeration_time,typegen_time,solver_time,processing_time,total_time,program_gen_time,result
3,3.6666667,0.22222221,4,3,620,37,6204,146,10494,45,Sat
1,1.0,0.0,1,1,230,47,3326,111,7387,49,Sat
12,2.0,0.0,2,2,361,49,3133,151,7563,56,Unsat
1,1.0,0.0,1,1,175,36,2751,114,6568,39,Unsat
11,2.4545455,0.42975208,3,1,385,72,8005,175,12631,82,Unsat
4,2.75,0.1875,3,2,385,72,14642,165,19220,85,Sat
2,2.5,0.25,3,2,385,72,7612,118,11923,77,Sat
2,3.0,0.0,3,3,385,72,4609,207,9061,75,Sat
1,1.0,0.0,1,1,220,326,3275,155,7416,334,Unsat
1,3.0,0.0,3,3,258,204,13720,126,18193,209,Sat
3,3.0,0.6666667,4,2,258,204,10686,162,14968,207,Unsat
1,4.0,0.0,4,4,258,204,11046,169,15562,209,Sat
1,3.0,0.0,3,3,258,204,12143,125,16634,207,Sat
2,2.0,0.0,2,2,297,126,2672,133,6707,131,Unsat
2,2.0,0.0,2,2,107,58,4790,2313161,2321860,60,Unsat
4,3.5,0.75,4,2,372,60,8371,311,18961,71,Sat
4,3.5,0.25,4,3,372,60,8197,298,18599,75,Sat
4,3.25,0.1875,4,3,372,60,504405,0,512471,72,Unknown
2,3.5,0.25,4,3,372,60,4929,169,9280,96,Sat
5,3.0,0.4,4,2,372,60,9421,159,13690,63,Sat
1,3.0,0.0,3,3,372,60,113256,223,117602,64,Sat
1,3.0,0.0,3,3,372,60,3742,2399898,2407659,64,Sat
3,2.6666667,0.22222221,3,2,1290,595,10249,406,21511,620,Sat
2,3.0,0.0,3,3,1290,595,19325,166,27594,621,Sat
3,2.3333333,0.22222221,3,2,1290,595,3203,156,7596,601,Unsat
3,3.0,0.6666667,4,2,562,109,3880,123,8289,119,Sat
4,2.75,0.6875,4,2,562,109,7094,135,11444,115,Sat
1,4.0,0.0,4,4,562,109,4152,153,8421,113,Sat
4,2.5,0.75,4,2,562,109,14955,144,19322,112,Sat
1,2.0,0.0,2,2,562,109,0,91,643,113,Sat
3,2.0,0.0,2,2,562,109,0,89,619,110,Sat
2,2.5,0.25,3,2,562,109,0,93,619,111,Sat
2,2.5,0.25,3,2,287,155,3206,140,7642,163,Sat
1,2.0,0.0,2,2,287,155,3161,127,7518,158,Sat
1,1.0,0.0,1,1,287,155,3658,133,8040,158,Sat
1,2.0,0.0,2,2,287,155,3176,117,7569,157,Sat
2,2.5,0.25,3,2,187,56,4841,136,8821,58,Unsat
2,2.5,0.25,3,2,187,56,11134,174,15168,58,Unsat
2,2.5,0.25,3,2,187,56,0,100,652,58,Sat
2,2.5,0.25,3,2,187,56,0,86,621,58,Sat
6,2.8333333,0.13888888,3,2,314,52,5959,2231705,2241839,57,Sat
3,3.0,0.0,3,3,314,52,8379,351,18973,70,Sat
14,2.9285715,0.066326536,3,2,314,52,13728,305,24201,64,Sat
1,3.0,0.0,3,3,314,52,0,170,1241,75,Sat
1,2.0,0.0,2,2,314,52,0,160,1185,54,Sat
5,2.8,0.16,3,2,536,308,12637,230,21021,326,Unsat
4,2.75,0.1875,3,2,536,308,18313,158,24611,330,Sat
1,3.0,0.0,3,3,536,308,4312,149,8636,317,Sat
2,2.0,0.0,2,2,158,37,2643,133,6584,41,Unsat
1,2.0,0.0,2,2,137,29,0,88,630,31,Sat
1,2.0,0.0,2,2,137,29,2812,126,6656,31,Unsat
2,2.0,0.0,2,2,276,108,6804,126,10968,115,Unsat
5,2.6,0.24000001,3,2,512,76,3057,182,7364,83,Unsat
7,2.857143,0.12244898,3,2,512,76,12650,163,17093,89,Sat
2,3.0,0.0,3,3,512,76,4924,127,9310,88,Sat
2,3.0,0.0,3,3,512,76,504606,0,508680,82,Unknown
1,3.0,0.0,3,3,512,76,0,193,839,96,Sat
1,3.0,0.0,3,3,512,76,504592,0,508736,79,Unknown
1,2.0,0.0,2,2,310,31,2547,175,6584,34,Unsat
1,3.0,0.0,3,3,310,31,2777,160,6691,33,Unsat
28,3.25,0.25892857,4,2,745,52,34537,303,40107,62,Sat
4,2.75,0.1875,3,2,745,52,7202,124,11703,84,Sat
9,3.6666667,0.22222221,4,3,745,52,8457,166,13043,73,Sat
