num_patterns,average_pattern_depth,variance_pattern_depth,max_pattern_depth,min_pattern_depth,typegen_time,match_gen_time,processing_time,program_gen_time,total_time,correct
1,2.0,0.0,2,2,100,52,422547,152,422704,true
1,1.0,0.0,1,1,462,356,377878,818,378702,false
3,1.6666666,0.22222221,2,1,62,40,420966,102,421074,true
1,3.0,0.0,3,3,361,133,411856,494,412356,true
1,2.0,0.0,2,2,188,70,422831,258,423094,false
1,4.0,0.0,4,4,233,82,432071,315,432390,false
1,2.0,0.0,2,2,46,59,417091,105,417201,true
5,4.0,0.0,4,4,40,105,376297,145,376446,false
4,3.5,0.25,4,3,158,280,451617,438,452061,true
1,1.0,0.0,1,1,45,27,398255,72,398331,true
2,3.0,1.0,4,2,152,203,363396,355,363756,false
1,1.0,0.0,1,1,31,15,408775,46,408826,false
1,2.0,0.0,2,2,21,17,414200,38,414242,false
1,1.0,0.0,1,1,190,49,448181,239,448426,true
1,4.0,0.0,4,4,72,78,407008,150,407163,true
1,3.0,0.0,3,3,51,83,410925,134,411063,true
1,1.0,0.0,1,1,17,17,402893,34,402931,true
5,2.6,0.24000001,3,2,72,85,445009,157,445170,true
10,3.6,0.24000001,4,3,95,380,422620,475,423099,false
1,2.0,0.0,2,2,29,22,410826,51,410882,false
1,1.0,0.0,1,1,54,39,411062,93,411159,false
1,4.0,0.0,4,4,19,25,409332,44,409382,true
1,3.0,0.0,3,3,119,32,423479,151,423635,true
1,2.0,0.0,2,2,80,16,422910,96,423010,false
1,4.0,0.0,4,4,20,58,416123,78,416205,true
1,2.0,0.0,2,2,73,15,419683,88,419776,false
1,2.0,0.0,2,2,73,20,412553,93,412650,false
1,1.0,0.0,1,1,143,75,377404,218,377626,false
1,2.0,0.0,2,2,68,26,438980,94,439078,false
5,3.8,0.16,4,3,44,157,370511,201,370717,false
1,1.0,0.0,1,1,52,37,377378,89,377472,false
6,3.0,1.3333334,4,1,34,79,439097,113,439215,true
1,4.0,0.0,4,4,122,141,411337,263,411605,false
2,4.0,0.0,4,4,193,113,389095,306,389406,false
2,1.5,0.25,2,1,86,34,419814,120,419939,true
1,3.0,0.0,3,3,32,26,426716,58,426778,true
2,3.0,1.0,4,2,44,83,391252,127,391385,false
1,2.0,0.0,2,2,191,124,409724,315,410044,false
3,3.0,0.6666667,4,2,63,90,386341,153,386498,false
1,4.0,0.0,4,4,33,72,419290,105,419401,true
1,4.0,0.0,4,4,227,152,381638,379,382021,false
1,2.0,0.0,2,2,146,148,425249,294,425549,false
1,2.0,0.0,2,2,166,23,434556,189,434750,false
1,2.0,0.0,2,2,41,34,422997,75,423077,false
5,3.4,0.64,4,2,120,150,396563,270,396837,false
7,2.7142856,1.0612245,4,1,53,50,449687,103,449793,true
1,1.0,0.0,1,1,60,21,406851,81,406937,false
1,2.0,0.0,2,2,40,33,415732,73,415809,true
1,1.0,0.0,1,1,124,37,418388,161,418555,false
1,1.0,0.0,1,1,150,23,423085,173,423263,false
5,3.8,0.16,4,3,44,107,422950,151,423107,true
1,4.0,0.0,4,4,74,58,428281,132,428417,true
1,2.0,0.0,2,2,239,64,408829,303,409138,true
1,2.0,0.0,2,2,134,80,412080,214,412300,true
7,2.7142856,1.0612245,4,1,46,95,432377,141,432524,true
2,2.5,0.25,3,2,910,425,423437,1335,424778,true
2,1.5,0.25,2,1,40,25,356904,65,356974,false
1,2.0,0.0,2,2,57,36,365136,93,365235,false
101,3.960396,0.077639446,4,2,154,1529,2554,1683,4243,true
1,2.0,0.0,2,2,806,104,433837,910,434751,true
20,3.85,0.12750001,4,3,162,429,461316,591,461911,false
1,1.0,0.0,1,1,106,13,408929,119,409052,false
1,2.0,0.0,2,2,35,20,420240,55,420299,false
1,2.0,0.0,2,2,97,86,416301,183,416489,true
1,2.0,0.0,2,2,33,21,430039,54,430097,false
729,3.9876542,0.014936765,4,2,24,5077,9540,5101,14645,true
1,2.0,0.0,2,2,243,112,373083,355,373441,false
1,2.0,0.0,2,2,133,39,436765,172,436941,false
2,2.5,0.25,3,2,26,29,424575,55,424635,true
5,3.4,1.4399999,4,1,281,663,402441,944,403395,false
3,3.0,0.6666667,4,2,260,373,428594,633,429234,true
3,3.0,0.6666667,4,2,99,75,373290,174,373469,false
