original_total_changes,original_num_types,original_num_params,original_num_generics,original_num_patterns,original_num_nested_patterns,reduced_total_changes,reduced_num_types,reduced_num_params,reduced_num_generics,reduced_num_patterns,reduced_num_nested_patterns,time
37,4,4,1,11,28,37,4,4,1,11,28,0
25,4,4,1,8,16,25,4,4,1,8,16,0
35,4,4,1,11,26,35,4,4,1,11,26,0
29,4,4,1,9,20,29,4,4,1,9,20,0
29,4,4,1,9,20,29,4,4,1,9,20,0
32,4,4,1,10,23,32,4,4,1,10,23,0
32,4,4,1,10,23,32,4,4,1,10,23,0
29,4,4,1,9,20,29,4,4,1,9,20,0
29,4,4,1,9,20,29,4,4,1,9,20,0
32,4,4,1,10,23,32,4,4,1,10,23,0
29,4,4,1,9,20,29,4,4,1,9,20,0
26,4,4,1,8,17,26,4,4,1,8,17,0
35,4,4,1,11,26,35,4,4,1,11,26,0
26,4,4,1,8,17,26,4,4,1,8,17,0
32,4,4,1,10,23,32,4,4,1,10,23,0
35,4,4,1,11,26,35,4,4,1,11,26,0
32,4,4,1,10,23,32,4,4,1,10,23,0
35,4,4,1,11,26,35,4,4,1,11,26,0
27,6,11,7,1,3,17,5,3,7,1,2,23
28,6,11,7,1,4,15,5,1,7,1,2,24
28,6,11,7,1,4,15,5,1,7,1,2,18
32,6,11,7,2,8,16,5,1,7,1,3,31
28,6,11,7,1,4,16,5,1,7,1,3,19
28,6,11,7,1,4,16,5,1,7,1,3,28
32,6,11,7,2,8,16,5,1,7,1,3,29
28,6,11,7,1,4,16,5,1,7,1,3,22
32,6,11,7,2,8,15,5,1,7,1,2,44
16,5,4,4,2,3,16,5,4,4,2,3,12
28,6,11,7,1,4,16,5,2,7,1,2,21
32,6,11,7,2,8,16,5,2,7,1,2,46
32,6,11,7,2,8,17,5,3,7,1,2,28
20,5,4,4,3,7,16,5,3,4,2,4,40
17,5,4,4,2,4,16,5,3,4,2,4,25
32,6,11,7,2,8,15,5,1,7,1,2,24
28,6,11,7,1,4,21,5,6,7,1,3,22
36,6,11,7,3,12,15,5,1,7,1,2,37
8,2,0,5,1,1,8,2,0,5,1,1,0
36,6,11,7,3,12,18,5,4,6,1,3,24
25,6,7,7,1,5,14,5,1,5,1,3,18
25,6,7,7,1,5,14,5,1,5,1,3,18
20,4,5,5,2,6,9,2,1,4,1,2,14
22,4,5,5,2,8,9,2,1,4,1,2,12
17,4,5,5,1,3,9,2,1,4,1,2,12
21,4,5,5,2,7,9,2,1,4,1,2,12
19,4,5,5,2,5,9,2,1,4,1,2,11
18,5,5,5,1,3,9,3,1,3,1,2,12
19,4,5,5,2,5,9,2,1,4,1,2,12
19,4,5,5,2,5,9,2,1,4,1,2,12
18,4,5,5,1,4,9,2,1,4,1,2,12
22,4,5,5,2,8,9,2,1,4,1,2,14
21,4,5,5,2,7,9,2,1,4,1,2,12
21,4,5,5,2,7,9,2,1,4,1,2,14
17,4,5,5,1,3,9,2,1,4,1,2,12
19,4,5,5,2,5,9,2,1,4,1,2,11
24,6,7,7,1,4,14,5,1,5,1,3,17
16,4,5,5,1,2,9,2,1,4,1,2,11
20,4,5,5,2,6,9,2,1,4,1,2,14
21,4,5,5,2,7,9,2,1,4,1,2,14
18,5,5,5,1,3,9,3,1,3,1,2,14
21,5,3,3,4,10,21,5,3,3,4,10,0
14,5,3,3,2,3,14,5,3,3,2,3,0
15,5,3,3,2,4,15,5,3,3,2,4,0
18,5,3,3,3,7,18,5,3,3,3,7,0
24,7,12,2,2,3,24,7,12,2,2,3,0
16,4,3,3,2,6,16,4,3,3,2,6,0
12,4,3,3,1,2,8,4,2,0,1,2,5
13,4,3,3,1,3,13,4,3,3,1,3,0
28,7,12,2,3,7,28,7,12,2,3,7,0
31,7,12,2,4,10,31,7,12,2,4,10,0
31,7,12,2,4,10,31,7,12,2,4,10,0
12,2,3,4,1,3,12,2,3,4,1,3,0
12,2,3,4,1,3,12,2,3,4,1,3,0
12,2,3,4,1,3,12,2,3,4,1,3,0
12,2,3,4,1,3,12,2,3,4,1,3,0
15,2,3,4,2,6,15,2,3,4,2,6,0
15,2,3,4,2,6,15,2,3,4,2,6,0
15,2,3,4,2,6,15,2,3,4,2,6,0
15,2,3,4,2,6,15,2,3,4,2,6,0
11,2,3,4,1,2,11,2,3,4,1,2,0
15,2,3,4,2,6,15,2,3,4,2,6,0
11,2,3,4,1,2,11,2,3,4,1,2,0
12,2,3,4,1,3,12,2,3,4,1,3,0
12,2,3,4,1,3,12,2,3,4,1,3,0
14,2,3,4,2,5,14,2,3,4,2,5,0
15,2,3,4,2,6,15,2,3,4,2,6,0
15,2,3,4,2,6,15,2,3,4,2,6,0
15,2,3,4,2,6,15,2,3,4,2,6,0
15,2,3,4,2,6,15,2,3,4,2,6,0
56,7,6,9,12,34,56,7,6,9,12,34,0
55,7,6,9,12,33,55,7,6,9,12,33,0
56,7,6,9,12,34,56,7,6,9,12,34,0
56,7,6,9,12,34,56,7,6,9,12,34,0
56,7,6,9,12,34,56,7,6,9,12,34,0
37,5,8,9,4,15,9,2,1,4,1,2,15
