num_patterns,average_pattern_depth,variance_pattern_depth,max_pattern_depth,min_pattern_depth,typegen_time,match_gen_time,processing_time,program_gen_time,total_time,correct
3,3.3333333,0.88888884,4,2,147,238,91,385,478,true
2,2.0,0.0,2,2,140,64,94,204,300,false
1,4.0,0.0,4,4,6,25,207,31,240,true
3,1.6666666,0.22222221,2,1,74,31,70,105,177,false
3,2.3333333,0.88888884,3,1,46,87,80,133,215,true
1,4.0,0.0,4,4,120,590,175,710,887,true
2,2.0,0.0,2,2,137,98,110,235,347,false
4,4.0,0.0,4,4,81,202,95,283,380,false
10,3.4,0.64,4,2,90,161,103,251,356,true
19,3.7894738,0.27146816,4,2,166,225,155,391,547,true
1,2.0,0.0,2,2,183,45,100,228,330,true
3,1.3333334,0.22222221,2,1,64,82,73,146,221,true
1,2.0,0.0,2,2,49,26,81,75,157,false
2,1.5,0.25,2,1,13,12,61,25,87,false
1,4.0,0.0,4,4,41,90,77,131,210,true
1,2.0,0.0,2,2,238,87,89,325,415,false
8,2.75,1.1875,4,1,77,149,114,226,343,true
1,2.0,0.0,2,2,26,23,95,49,147,false
4,2.25,0.6875,3,1,110,89,102,199,303,true
4,1.75,0.1875,2,1,836,1024,170,1860,2032,true
2,3.0,0.0,3,3,25,68,81,93,176,true
1,4.0,0.0,4,4,8,19,73,27,102,true
3,2.3333333,1.5555557,4,1,261,255,98,516,616,true
9,3.1111112,1.2098765,4,1,20,41,2762723,61,2762786,true
1,2.0,0.0,2,2,70,37,186,107,300,false
17,3.6470587,0.5813152,4,2,176,869,579,1045,1626,false
2,2.5,0.25,3,2,233,158,265,391,660,false
4,3.5,0.25,4,3,25,73,409,98,510,false
1,3.0,0.0,3,3,22,34,160,56,219,true
1,2.0,0.0,2,2,269,89,178,358,538,true
1,1.0,0.0,1,1,212,156,152,368,523,true
14,3.642857,0.5153061,4,2,193,3289,1213,3482,4698,false
1,2.0,0.0,2,2,293,35,200,328,532,false
1,4.0,0.0,4,4,47,39,138,86,227,false
1,4.0,0.0,4,4,152,61,157,213,372,false
1,3.0,0.0,3,3,319,254,254,573,829,false
3,2.0,0.6666667,3,1,20,33,140,53,197,true
8,3.75,0.1875,4,3,361,954,490,1315,1808,false
13,3.7692308,0.6390533,4,1,4455,3792,820,8247,9071,true
2,1.5,0.25,2,1,413,113,217,526,747,false
1,3.0,0.0,3,3,513,184,215,697,916,true
1,4.0,0.0,4,4,47,134,159,181,343,true
1,4.0,0.0,4,4,72,131,165,203,371,false
2,1.5,0.25,2,1,379,149,250,528,781,false
8,4.0,0.0,4,4,22,98,177,120,300,true
1,1.0,0.0,1,1,10,14,130,24,157,false
1,2.0,0.0,2,2,55,38,183,93,279,true
14,3.857143,0.12244898,4,3,26,164,226,190,419,true
1,2.0,0.0,2,2,50,21,165,71,239,false
1,1.0,0.0,1,1,60,95,295,155,452,true
5,2.2,0.55999994,3,1,276,504,269,780,1051,true
6,2.6666667,1.2222223,4,1,41,81,211,122,336,false
6,3.0,1.3333334,4,1,21,73,298,94,395,true
11,3.4545455,0.42975208,4,2,118,460,258,578,839,true
1,2.0,0.0,2,2,302,64,194,366,563,false
2,1.5,0.25,2,1,182,246,207,428,638,false
2,2.5,0.25,3,2,153,172,191,325,519,true
1,2.0,0.0,2,2,429,194,201,623,826,true
3,2.0,0.6666667,3,1,135,66,202,201,406,false
9,4.0,0.0,4,4,424,1913,834,2337,3175,true
2,4.0,0.0,4,4,667,473,268,1140,1412,false
2,1.5,0.25,2,1,354,160,200,514,717,true
9,3.8888888,0.09876543,4,3,19,84,157,103,262,true
1,4.0,0.0,4,4,10,46,152,56,211,true
2,1.5,0.25,2,1,18,17,239,35,276,true
15,3.8,0.29333332,4,2,27,149,184,176,362,true
339,3.9882007,0.017559893,4,2,336,84928,70064,85264,155330,true
1,2.0,0.0,2,2,731,97,218,828,1052,false
1,4.0,0.0,4,4,124,131,20340594,255,20340852,false
1,1.0,0.0,1,1,83,572,9493076,655,9493743,true
2,4.0,0.0,4,4,323,406,261,729,996,true
1,3.0,0.0,3,3,452,137,226,589,818,false
1,2.0,0.0,2,2,158,220,301,378,684,false
2,1.5,0.25,2,1,115,103,239,218,461,false
2,1.5,0.25,2,1,225,213,277,438,717,true
3,3.0,0.0,3,3,204,125,287,329,620,true
