num_patterns,average_pattern_depth,variance_pattern_depth,max_pattern_depth,min_pattern_depth,enumeration_time,typegen_time,solver_time,processing_time,total_time,program_gen_time,result
8,2.75,0.1875,3,2,505,50,4052,129,8666,54,Sat
2,3.0,0.0,3,3,505,50,3203,131,7706,57,Sat
1,3.0,0.0,3,3,505,50,8950,136,13479,53,Sat
1,3.0,0.0,3,3,245,12,2543,115,6330,16,Unsat
1,2.0,0.0,2,2,245,12,2423,138,6182,13,Unsat
5,3.0,0.0,3,3,297,15,4747,121,8827,21,Sat
2,3.0,0.0,3,3,297,15,3786,144,7823,20,Sat
4,2.75,0.1875,3,2,297,15,3955,134,7987,18,Sat
2,2.5,0.25,3,2,297,15,3064,161,7114,19,Sat
1,3.0,0.0,3,3,297,15,0,87,618,17,Sat
1,2.0,0.0,2,2,297,15,3340,137,7359,17,Sat
1,1.0,0.0,1,1,175,14,2992,126,6934,17,Unsat
3,3.0,0.6666667,4,2,255,39,3973,150,8339,44,Sat
2,3.5,0.25,4,3,255,39,4032,357905,366098,43,Sat
1,2.0,0.0,2,2,255,39,3639,140,8419,49,Sat
1,2.0,0.0,2,2,255,39,6128,142,10434,41,Sat
1,1.0,0.0,1,1,131,30,2598,207,6548,31,Unsat
1,3.0,0.0,3,3,150,20,4214,127,8075,22,Unsat
1,2.0,0.0,2,2,150,20,4064,135,7890,22,Unsat
1,3.0,0.0,3,3,206,20,5458,138,9482,22,Sat
1,3.0,0.0,3,3,206,20,3981,134,8090,22,Sat
2,2.5,0.25,3,2,206,20,2656,140,6574,23,Unsat
4,2.25,0.1875,3,2,248,51,19664,130,24088,56,Unsat
10,2.6,0.24000001,3,2,248,51,12300,192,17109,58,Sat
1,3.0,0.0,3,3,248,51,10390,147,14969,59,Sat
1,3.0,0.0,3,3,248,51,0,98,641,53,Sat
1,3.0,0.0,3,3,248,51,10091,114,14788,52,Sat
2,2.0,0.0,2,2,247,43,8766,261231,273985,45,Unsat
28,2.9285715,0.066326536,3,2,483,160,45476,271,57841,179,Unsat
